,devset,set,ned,coverage,coverageNS,coverageNS_f,grouping_F,grouping_P,grouping_R,token_F,token_P,token_R,type_F,type_P,type_R,boundary_F,boundary_P,boundary_R,n_clus,n_node,exp_path,length_avg,a,dim_fix,emb_type,k,lmax,lmin,metric,norm,olapthr_m,pca,seg_type,top_delta,use_gpu,r,s
0,A,A,37.59,8.52,9.32,11.62,54.36,53.19,55.68,3.39,14.84,1.91,10.38,15.49,7.81,19.8,100.0,11.0,1145,2290,/home/korhan/Desktop/tez/knn_exps/knn_A_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.99_olap0.2,12.525162925416366,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.05,True,0.21,0.6
1,A,Signer04,29.4,8.29,9.1,11.99,57.51,58.28,56.84,3.87,14.99,2.22,9.23,19.19,6.08,21.25,100.0,11.9,563,1126,/home/korhan/Desktop/tez/knn_exps/knn_Signer04_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.060000000000000005_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.682613768115942_olap0.2,11.880570409982175,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.060000000000000005,True,0.21,0.6
2,A,Signer08,55.71,9.13,10.19,12.06,47.78,43.59,52.99,2.76,13.81,1.53,10.48,17.19,7.54,19.25,100.0,10.66,424,848,/home/korhan/Desktop/tez/knn_exps/knn_Signer08_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.99_olap0.2,12.94281045751634,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.05,True,0.21,0.6
3,A,Signer09,37.78,8.86,9.68,13.42,53.15,47.37,60.67,1.5,8.62,0.82,2.79,7.46,1.71,20.01,100.0,11.13,75,150,/home/korhan/Desktop/tez/knn_exps/knn_Signer09_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.060000000000000005_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.779420152232663_olap0.2,14.261029411764707,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.060000000000000005,True,0.21,0.6
4,A,B,43.99,9.74,10.45,14.28,53.77,52.14,55.62,3.34,13.09,1.92,12.42,15.61,10.31,22.23,100.0,12.52,1651,3302,/home/korhan/Desktop/tez/knn_exps/knn_B_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.99_olap0.2,14.188692680148106,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.05,True,0.21,0.6
5,A,Signer02,62.82,8.37,9.32,16.65,42.2,38.46,46.88,1.41,7.81,0.78,3.62,13.79,2.08,21.8,100.0,12.25,26,52,/home/korhan/Desktop/tez/knn_exps/knn_Signer02_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.09_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.5255015753132631_olap0.2,13.388059701492537,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.09,True,0.21,0.6
6,A,Signer05,54.98,8.81,9.6,13.11,48.27,46.53,50.25,2.14,10.09,1.19,10.24,15.62,7.61,20.27,100.0,11.29,787,1574,/home/korhan/Desktop/tez/knn_exps/knn_Signer05_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.6437624422222071_olap0.2,13.310485933503836,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.05,True,0.21,0.6
7,A,Signer07,52.12,9.07,9.56,13.29,40.31,35.41,46.9,2.02,12.03,1.1,9.27,15.38,6.63,19.12,100.0,10.58,323,646,/home/korhan/Desktop/tez/knn_exps/knn_Signer07_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.07_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.7016772710049851_olap0.2,14.972222222222221,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.07,True,0.21,0.6
8,A,C,41.08,8.65,9.83,12.15,49.73,48.19,51.47,3.43,17.2,1.9,13.24,18.12,10.43,19.48,100.0,10.8,1224,2448,/home/korhan/Desktop/tez/knn_exps/knn_C_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.85212713934743_olap0.2,13.31204963971177,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.05,True,0.21,0.6
9,A,Signer01,44.53,8.65,9.96,12.33,48.52,47.16,50.05,3.3,17.19,1.82,13.22,19.77,9.93,19.82,100.0,11.01,820,1640,/home/korhan/Desktop/tez/knn_exps/knn_Signer01_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.8136394711824123_olap0.2,12.829787234042554,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.05,True,0.21,0.6
10,A,Signer03,34.83,8.88,9.83,11.98,55.57,50.83,61.41,3.86,17.16,2.18,9.76,18.49,6.63,19.05,100.0,10.54,396,792,/home/korhan/Desktop/tez/knn_exps/knn_Signer03_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.99_olap0.2,14.735807860262009,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.05,True,0.21,0.6
11,A,Signer06,45.71,6.69,9.47,13.82,66.62,54.55,85.71,0.53,5.56,0.28,1.54,11.11,0.83,12.61,100.0,6.74,7,14,/home/korhan/Desktop/tez/knn_exps/knn_Signer06_c3_right_PCA40_a3_dim_fix4_emb_typegauss_kernel_k150_lmax15_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.11999999999999998_use_gpuTrue_r0.21_s0.6/postpairwise_cost0.5709665213349473_olap0.2,13.583333333333334,3,4,gauss_kernel,150,15,2,L2,False,0.2,,uniform,0.11999999999999998,True,0.21,0.6
