,devset,set,ned,coverage,coverageNS,coverageNS_f,grouping_F,grouping_P,grouping_R,token_F,token_P,token_R,type_F,type_P,type_R,boundary_F,boundary_P,boundary_R,n_clus,n_node,exp_path,length_avg,a,dim_fix,emb_type,k,lmax,lmin,metric,norm,olapthr_m,pca,seg_type,top_delta,use_gpu,r,s
0,A,A,56.78,9.56,10.4,13.36,35.98,34.89,37.25,3.26,16.05,1.81,14.12,16.51,12.33,21.65,100.0,12.15,728,1456,/home/korhan/Desktop/tez/knn_exps/knn_A_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.5409678845501253_olap0.2,10.029580936729664,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
1,A,Signer04,59.65,9.03,9.71,11.85,36.68,37.44,36.04,3.76,17.65,2.11,14.21,22.86,10.31,21.97,100.0,12.35,317,634,/home/korhan/Desktop/tez/knn_exps/knn_Signer04_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.7476420512636661_olap0.2,9.301282051282051,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
2,A,Signer08,44.72,8.57,9.76,12.26,43.21,37.47,51.16,2.63,17.27,1.43,12.09,17.9,9.13,18.6,100.0,10.26,266,532,/home/korhan/Desktop/tez/knn_exps/knn_Signer08_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.4380569869680261_olap0.2,10.572307692307692,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
3,A,Signer09,50.0,8.59,9.24,11.89,42.67,36.97,50.57,2.76,13.27,1.54,5.48,13.7,3.42,19.76,100.0,10.98,99,198,/home/korhan/Desktop/tez/knn_exps/knn_Signer09_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.45740752803632456_olap0.2,11.612546125461254,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
4,A,B,45.76,9.23,9.87,12.61,44.3,41.22,48.01,3.52,16.97,1.97,13.03,14.81,11.63,20.4,100.0,11.37,1295,2590,/home/korhan/Desktop/tez/knn_exps/knn_B_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.3048248511767141_olap0.2,11.361516034985423,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
5,A,Signer02,63.1,9.28,10.87,18.07,22.6,16.67,35.29,0.86,6.12,0.47,2.65,8.82,1.56,19.25,100.0,10.66,21,42,/home/korhan/Desktop/tez/knn_exps/knn_Signer02_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.060000000000000005_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.6002568177745233_olap0.2,11.728915662650602,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.060000000000000005,True,0.2122,0.1
6,A,Signer05,40.95,9.08,9.87,11.85,50.09,46.52,54.37,4.12,19.49,2.3,13.74,17.62,11.26,20.27,100.0,11.29,844,1688,/home/korhan/Desktop/tez/knn_exps/knn_Signer05_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.25585870133354505_olap0.2,11.002793296089385,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
7,A,Signer07,64.67,9.98,10.5,13.06,29.93,25.51,36.33,2.4,13.71,1.32,9.9,14.53,7.5,19.92,100.0,11.07,319,638,/home/korhan/Desktop/tez/knn_exps/knn_Signer07_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.44691549621957816_olap0.2,12.227909482758621,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
8,A,C,49.16,8.72,9.87,12.12,38.06,37.17,39.09,3.84,19.93,2.13,15.45,17.72,13.69,20.26,100.0,11.28,1058,2116,/home/korhan/Desktop/tez/knn_exps/knn_C_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.3201613767204605_olap0.2,10.636405388854868,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
9,A,Signer01,56.55,8.56,9.83,11.99,32.81,31.85,33.94,3.77,22.29,2.06,17.14,21.03,14.47,19.85,100.0,11.03,582,1164,/home/korhan/Desktop/tez/knn_exps/knn_Signer01_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.24783972215075892_olap0.2,10.605499735589635,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
10,A,Signer03,40.44,9.97,10.94,13.82,54.08,51.33,57.26,4.18,14.49,2.44,9.29,15.52,6.63,22.89,100.0,12.94,522,1044,/home/korhan/Desktop/tez/knn_exps/knn_Signer03_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.5790084169247347_olap0.2,10.567868852459016,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.05,True,0.2122,0.1
11,A,Signer06,85.71,8.91,11.11,13.69,0.0,0.0,0.0,0.54,6.25,0.28,1.47,6.67,0.83,14.41,100.0,7.77,7,14,/home/korhan/Desktop/tez/knn_exps/knn_Signer06_op100_a3_dim_fix4_emb_typegauss_kernel_k150_lmax13_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.08_use_gpuTrue_r0.2122_s0.1/postpairwise_cost0.13698465127095308_olap0.2,14.382352941176471,3,4,gauss_kernel,150,13,2,L2,False,0.2,,uniform,0.08,True,0.2122,0.1
12,B,A,57.49,9.66,10.44,13.47,39.4,42.74,36.63,4.82,18.84,2.76,18.55,23.77,15.21,24.36,100.0,13.88,870,1740,/home/korhan/Desktop/tez/knn_exps/knn_A_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.37813026620060974_olap0.2,8.661420636256523,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
13,B,Signer04,57.36,9.17,9.83,11.64,39.63,43.01,36.83,5.48,21.38,3.14,17.4,29.52,12.34,23.97,100.0,13.63,361,722,/home/korhan/Desktop/tez/knn_exps/knn_Signer04_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.478222842848375_olap0.2,8.395129224652088,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
14,B,Signer08,45.55,8.76,9.82,12.02,40.89,39.86,42.07,4.16,22.06,2.3,15.67,23.69,11.71,21.78,100.0,12.24,296,592,/home/korhan/Desktop/tez/knn_exps/knn_Signer08_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.3017262026253323_olap0.2,8.83974358974359,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
15,B,Signer09,47.38,9.94,10.55,13.88,42.96,40.0,46.51,3.44,13.19,1.98,6.88,15.12,4.45,25.15,100.0,14.4,127,254,/home/korhan/Desktop/tez/knn_exps/knn_Signer09_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.35690802031381796_olap0.2,9.215753424657533,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
16,B,B,42.41,8.57,9.11,11.58,47.76,48.9,46.78,4.6,20.38,2.59,18.01,23.73,14.51,21.71,100.0,12.19,1350,2700,/home/korhan/Desktop/tez/knn_exps/knn_B_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.20498526900085395_olap0.2,9.167873214635101,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
17,B,Signer02,62.72,8.83,10.87,17.8,27.07,23.53,32.0,1.15,7.69,0.62,3.57,12.5,2.08,20.88,100.0,11.67,19,38,/home/korhan/Desktop/tez/knn_exps/knn_Signer02_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.5431352363756883_olap0.2,10.264705882352942,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
18,B,Signer05,38.64,8.68,9.4,11.26,53.22,53.9,52.66,5.07,21.27,2.88,18.27,26.84,13.85,21.88,100.0,12.29,940,1880,/home/korhan/Desktop/tez/knn_exps/knn_Signer05_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.18508880627839736_olap0.2,9.093428571428571,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
19,B,Signer07,63.22,9.18,9.51,12.03,32.18,31.06,33.49,3.73,17.48,2.09,13.52,20.35,10.12,22.31,100.0,12.57,353,706,/home/korhan/Desktop/tez/knn_exps/knn_Signer07_op100_a3_dim_fix9_emb_typegauss_kernel_k150_lmax11_lmin2_metricL2_normFalse_olapthr_m0.2_pca_seg_typeuniform_top_delta0.05_use_gpuTrue_r0.1714_s0.5533/postpairwise_cost0.2766142247543675_olap0.2,9.428418803418804,3,9,gauss_kernel,150,11,2,L2,False,0.2,,uniform,0.05,True,0.1714,0.5533
